unique_video_id,filename,Number_of_vertice,Number_of_edge,in_degree,out_degree,betweenness,density,transitivity,reciprocity,constraint,Number_of_topics,Content_type,Verified_status,Number_of_thumbs,Number_of_transmits,Number_of_comments,Followee,Follower,Publisher,Government_account,Unnamed: 12,Video_duration,Publish_date,Number_of_views,Video_length,nowtime,Published_days
229,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美总统气候问题特使约翰·克里车队开进上海东郊宾馆.csv.csv,291,857,290,290,83499,0.0101552316625193,0.0137712945016832,0.682352941176471,0.987867297904238,4,1,1,2805,69,332,28,1387000,环球时报,1,https://www.bilibili.com/video/BV1Av41177KR?from=search&seid=6075194328091201621,00:00:40,2021-04-14 23:41:36,51000,40,2022-01-09 14:08:02.086693,269
230,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/模拟海平面不断上升亚洲大陆被淹没全过程.csv.csv,2422,7356,2421,2421,5853482,0.0012545061430894,0.0016748747306773,0.671101871101871,0.997607240542127,15,2,2,11000,2467,5369,8,1104,李翔作品,2,https://www.bilibili.com/video/BV1Yx41127Ve?from=search&seid=6075194328091201621,00:02:58,2017-02-16 13:24:43,1112000,178,2022-01-09 14:08:02.086693,1788
231,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/莫迪宣布印度2070年将实现净零排放 印媒称承诺“重大”.csv.csv,1647,4937,1646,1646,2705897,0.0018211247520253,0.0020972698087305,0.672210953346856,0.996831385059426,1,1,1,16000,187,1945,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1nU4y1g7yc?from=search&seid=6075194328091201621,00:00:37,2021-11-02 15:02:44,260000,37,2022-01-09 14:08:02.086693,67
232,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/默克尔发表新年致辞 提到两次世界大战.csv.csv,961,2948,960,960,918630,0.003195456122095,0.0056065945836626,0.658427737727429,0.995263099123004,8,1,1,3936,170,1502,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1bt411B7oi?from=search&seid=6075194328091201621,00:02:08,2019-01-01 13:09:00,145000,128,2022-01-09 14:08:02.086693,1104
233,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/默克尔视察洪灾区：太可怕了！无法用德语描述….csv.csv,1208,3665,1207,1207,1453292,0.0025136208760157,0.0036884147212016,0.678864008738394,0.99606835769658,18,1,1,20000,249,1538,42,7194000,观察者网,1,https://www.bilibili.com/video/BV12U4y1n7Zw?from=search&seid=6075194328091201621,00:00:38,2021-07-19 09:40:10,301000,38,2022-01-09 14:08:02.086693,174
234,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/能用手语和人交流的44岁大猩猩传递给人类重要讯息 喵呜字幕组.csv.csv,391,1192,390,390,150848,0.0078169060266247,0.0135351227869789,0.665531914893617,0.992433534420225,8,2,2,5445,762,659,7,19000,喵呜字幕组,2,https://www.bilibili.com/video/BV17s411R7j8?from=search&seid=6075194328091201621,00:01:14,2016-01-05 10:55:43,431000,74,2022-01-09 14:08:02.086693,2196
235,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/怒瞪特朗普的瑞典女孩：痛斥领导人对气候变化没有行动.csv.csv,463,1376,462,462,212067,0.0064327321346759,0.0087079343276619,0.672501823486506,0.99201579412978,2,1,2,827,342,659,839,85,小云吞兽,2,https://www.bilibili.com/video/BV1dJ411T7P1?from=search&seid=6075194328091201621,00:04:53,2019-09-27 22:23:44,137000,293,2022-01-09 14:08:02.086693,834
236,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/欧盟委员会首位女主席正式上任.csv.csv,733,2213,732,732,534246,0.004124452992791,0.0061494410394275,0.66213768115942,0.992482957578992,9,1,1,8325,274,982,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1qJ411z7yP?from=search&seid=6075194328091201621,00:00:44,2019-12-02 09:33:44,159000,44,2022-01-09 14:08:02.086693,769
237,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/欧洲议会议员：美国霸权时代早已结束.csv.csv,918,2747,917,917,837850,0.0032632221675778,0.0043706575143112,0.672740524781341,0.995866733523317,10,1,1,29000,478,1123,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1Du411d7Y6?from=search&seid=6075194328091201621,00:02:47,2021-10-19 08:33:55,319000,167,2022-01-09 14:08:02.086693,82
238,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/蓬佩奥质疑中国环保措施 外交部：蓬佩奥先生应好好照照镜子.csv.csv,220,645,219,219,47320,0.013387297633873,0.0182937819164914,0.68125,0.984249074530437,1,1,1,3891,33,244,178,1912000,中国日报,1,https://www.bilibili.com/video/BV1D54y1e7mu?from=search&seid=6075194328091201621,00:03:57,2020-08-31 17:56:23,34000,237,2022-01-09 14:08:02.086693,495
